Year,Month,Day,Temp_Max[?øC],Temp_Mean[?øC],Temp_Min[?øC],Weather Category,,Emirate
2021,1,16,25.2,16.2,8.2,Cold and Cloudy,,Abu Dhabi
2022,5,15,36.4,28.4,20.6,Sunny and Warm,,Abu Dhabi
2020,10,31,36.6,26.7,19,Sunny and Warm,,Abu Dhabi
2020,9,27,43.7,33.3,25.4,Sunny and Hot,,Abu Dhabi
2020,5,30,45.8,37.4,30.7,Sunny and Hot,,Abu Dhabi
2022,6,3,45.4,35.1,27.4,Sunny and Hot,,Abu Dhabi
2020,2,4,23.7,18.5,13.7,Cold and Cloudy,,Abu Dhabi
2020,1,24,22.5,19.9,17.8,Cold and Cloudy,,Abu Dhabi
2018,7,30,46.3,38.4,35,Sunny and Hot,,Abu Dhabi
2022,7,23,47,40.2,36.3,Sunny and Hot,,Abu Dhabi
2022,12,10,27.5,24.1,21.3,Sunny and Warm,,Abu Dhabi
2022,10,27,37.7,29.8,22.1,Sunny and Warm,,Abu Dhabi
2021,1,28,28.4,19.2,11.1,Cold and Cloudy,,Abu Dhabi
2022,1,5,22.6,18.6,15.6,Cold and Cloudy,,Abu Dhabi
2018,3,8,34.7,24.4,15.6,Sunny and Warm,,Abu Dhabi
2019,1,18,24,20.7,18.1,Sunny and Warm,,Abu Dhabi
2022,6,2,44.2,36.2,29.7,Sunny and Hot,,Abu Dhabi
2018,3,29,39.5,27,15.9,Sunny and Warm,,Abu Dhabi
2022,6,17,42.2,35.2,30,Sunny and Hot,,Abu Dhabi
2020,3,26,30.1,22.1,15.5,Sunny and Warm,,Abu Dhabi
2019,11,10,30.4,23.3,20.1,Sunny and Warm,,Abu Dhabi
2019,2,10,29.7,21.6,14.2,Sunny and Warm,,Abu Dhabi
2019,12,27,25.2,19,12.7,Cold and Cloudy,,Abu Dhabi
2020,9,13,46.1,35.9,27.9,Sunny and Hot,,Abu Dhabi
2021,2,10,27.7,22,17.7,Sunny and Warm,,Abu Dhabi
2018,5,10,42.7,34.5,29.2,Sunny and Hot,,Abu Dhabi
2018,7,29,48,40,35.3,Sunny and Hot,,Abu Dhabi
2018,7,9,44.4,37.7,30.7,Sunny and Hot,,Abu Dhabi
2021,12,6,28.6,22.5,16.6,Sunny and Warm,,Abu Dhabi
2018,7,18,42.6,36.4,30.2,Sunny and Hot,,Abu Dhabi
2021,1,16,25.2,16.2,8.2,Cold and Cloudy,,Abu Dhabi
2019,1,2,30.4,21.8,14.8,Sunny and Warm,,Abu Dhabi
2018,11,27,27.8,23.8,20,Sunny and Warm,,Abu Dhabi
2018,9,20,43.2,34.8,27,Sunny and Hot,,Abu Dhabi
2018,7,19,42.1,36,30.1,Sunny and Hot,,Abu Dhabi
2021,7,11,48.2,40.3,34.4,Sunny and Hot,,Abu Dhabi
2018,12,12,27.7,23.1,18.9,Sunny and Warm,,Abu Dhabi
2021,5,25,48.3,38,29.3,Sunny and Hot,,Abu Dhabi
2020,9,25,44.2,33.1,25.5,Sunny and Hot,,Abu Dhabi
2021,1,11,24.6,17.5,10,Cold and Cloudy,,Abu Dhabi
2021,11,5,34.5,27.2,21.4,Sunny and Warm,,Abu Dhabi
2020,9,19,44.6,33.8,25.8,Sunny and Hot,,Abu Dhabi
2019,12,16,31.1,25.3,21.2,Sunny and Warm,,Abu Dhabi
2020,7,27,45.4,38.1,32.9,Sunny and Hot,,Abu Dhabi
2019,7,1,47,37.3,28.7,Sunny and Hot,,Abu Dhabi
2020,7,3,45.3,37.1,32.2,Sunny and Hot,,Abu Dhabi
2022,8,14,44.6,37.8,34.2,Sunny and Hot,,Abu Dhabi
2021,1,21,26.7,18.6,12.5,Cold and Cloudy,,Abu Dhabi
2018,1,6,27.6,19.3,12.4,Cold and Cloudy,,Abu Dhabi
2022,12,3,30.7,25,18.7,Sunny and Warm,,Abu Dhabi
2019,3,25,33.3,29.2,26.1,Sunny and Warm,,Abu Dhabi
2021,2,21,31,23,19,Sunny and Warm,,Abu Dhabi
2019,6,6,47.2,36.7,29.3,Sunny and Hot,,Abu Dhabi
2021,6,26,47.4,37.8,28.4,Sunny and Hot,,Abu Dhabi
2019,10,4,41.9,33.7,29,Sunny and Hot,,Abu Dhabi
2019,3,24,36.3,30.2,24,Sunny and Hot,,Abu Dhabi
2018,4,4,36.7,28.5,20.5,Sunny and Warm,,Abu Dhabi
2018,5,30,43.6,35.4,28.7,Sunny and Hot,,Abu Dhabi
2020,3,10,28.4,22.3,16.6,Sunny and Warm,,Abu Dhabi
2021,9,10,42.1,35.7,31.1,Sunny and Hot,,Abu Dhabi
2019,11,13,30.9,23.5,15.1,Sunny and Warm,,Abu Dhabi
2021,9,28,40.9,33.5,28.8,Sunny and Hot,,Abu Dhabi
2018,12,21,26.7,20.8,15.7,Sunny and Warm,,Abu Dhabi
2019,6,16,48,36.5,29.6,Sunny and Hot,,Abu Dhabi
2020,5,20,43,33.2,25.4,Sunny and Hot,,Abu Dhabi
2021,10,26,35.4,29,22.9,Sunny and Warm,,Abu Dhabi
2022,4,6,42.1,29.8,19.8,Sunny and Warm,,Abu Dhabi
2022,8,30,43.2,34.9,28.1,Sunny and Hot,,Abu Dhabi
2019,3,13,27.7,19.6,11.5,Cold and Cloudy,,Abu Dhabi
2018,1,15,23.7,17.1,12,Cold and Cloudy,,Abu Dhabi
2019,7,29,46.6,39.6,34,Sunny and Hot,,Abu Dhabi
2018,7,24,42,35.8,31.9,Sunny and Hot,,Abu Dhabi
2018,7,22,42.9,36.3,32.1,Sunny and Hot,,Abu Dhabi
2021,6,1,45.5,35.8,28.2,Sunny and Hot,,Abu Dhabi
2021,1,14,24.1,18.2,12.4,Cold and Cloudy,,Abu Dhabi
2018,1,7,28.3,19.3,11.6,Cold and Cloudy,,Abu Dhabi
2022,6,8,48.6,36.9,28.9,Sunny and Hot,,Abu Dhabi
2019,12,22,26.8,19.9,12.2,Cold and Cloudy,,Abu Dhabi
2019,9,4,46.1,36,28.7,Sunny and Hot,,Abu Dhabi
2018,3,15,30.7,22.8,16.4,Sunny and Warm,,Abu Dhabi
2021,11,17,33.3,26.1,20.5,Sunny and Warm,,Abu Dhabi
2020,11,21,33.3,26,19.8,Sunny and Warm,,Abu Dhabi
2021,6,3,47.6,36.1,27.9,Sunny and Hot,,Abu Dhabi
2022,1,31,26.9,20.6,15.6,Sunny and Warm,,Abu Dhabi
2022,11,3,38.4,29.1,21,Sunny and Warm,,Abu Dhabi
2023,1,2,27,21.2,15.7,Sunny and Warm,,Abu Dhabi
2022,10,31,36.9,29,23,Sunny and Warm,,Abu Dhabi
2020,11,24,27.8,24.7,21.2,Sunny and Warm,,Abu Dhabi
2023,2,1,27.7,21.2,15.5,Sunny and Warm,,Abu Dhabi
2020,4,19,41.2,30.5,22.2,Sunny and Hot,,Abu Dhabi
2022,6,8,48.6,36.9,28.9,Sunny and Hot,,Abu Dhabi
2019,6,22,45.3,36.4,31.3,Sunny and Hot,,Abu Dhabi
2021,8,7,43.8,37.1,30.7,Sunny and Hot,,Abu Dhabi
2019,9,2,47.8,36.7,29.9,Sunny and Hot,,Abu Dhabi
2019,2,26,25.2,20.7,17.3,Sunny and Warm,,Abu Dhabi
2021,2,5,30.7,21.7,12.7,Sunny and Warm,,Abu Dhabi
2019,9,27,41.8,34.5,30,Sunny and Hot,,Abu Dhabi
2018,2,11,29.1,19.2,10.5,Cold and Cloudy,,Abu Dhabi
2019,1,23,24.9,18.9,13.6,Cold and Cloudy,,Abu Dhabi
2018,2,10,25.2,17.7,11.9,Cold and Cloudy,,Abu Dhabi
2022,3,18,25.6,21.6,19.1,Sunny and Warm,,Abu Dhabi
2022,5,7,44.2,36,29.9,Sunny and Hot,,Abu Dhabi
2021,6,16,44.4,35.2,26.7,Sunny and Hot,,Abu Dhabi
2021,4,30,36.9,31.3,27.5,Sunny and Hot,,Abu Dhabi
2019,12,17,29.4,25.2,21.6,Sunny and Warm,,Abu Dhabi
2021,4,6,31.2,25.3,20,Sunny and Warm,,Abu Dhabi
2018,7,4,48.6,37.2,30.3,Sunny and Hot,,Abu Dhabi
2019,9,24,44.8,35.5,28.5,Sunny and Hot,,Abu Dhabi
2020,1,15,21.7,17.2,14,Cold and Cloudy,,Abu Dhabi
2019,6,1,44,34.8,25.2,Sunny and Hot,,Abu Dhabi
